"VE_COU","VE_REF","SI_LATI","SI_LONG","SI_DATE","SI_TIME","SI_SP","SI_HE","SI_DATIM"
"658237","Atlantis","10",51.4477244459512,3.58373072574753,"04/05/1800","13:32:00",0,25,1800-05-04 13:32:00
"658238","Atlantis","10",51.4406743343966,3.58384667526838,"04/05/1800","15:28:00",0,25,1800-05-04 15:28:00
"662888","Atlantis","10",51.4407431283058,3.59552922427561,"04/05/1800","17:22:00",0,25,1800-05-04 17:22:00
"662889","Atlantis","10",51.4431543027703,3.58686242580321,"04/05/1800","19:18:00",0,25,1800-05-04 19:18:00
"662890","Atlantis","10",51.4435144856712,3.58694753077719,"04/05/1800","21:12:00",0,25,1800-05-04 21:12:00
"662891","Atlantis","10",51.4481111547514,3.59395834521763,"04/05/1800","23:08:00",0,25,1800-05-04 23:08:00
"662892","Atlantis","10",51.4474296509796,3.59117479477078,"05/05/1800"," 1:04:00",0,111,1800-05-05 01:04:00
"662893","Atlantis","10",51.6214494813131,3.19755943488237,"05/05/1800"," 2:58:00",12,292,1800-05-05 02:58:00
"662894","Atlantis","10",51.6731934304331,3.17657612829283,"05/05/1800"," 4:54:00",2,43,1800-05-05 04:54:00
"662895","Atlantis","10",51.6943234914839,3.22908421075065,"05/05/1800"," 6:48:00",2,294,1800-05-05 06:48:00
"662896","Atlantis","10",51.6560659951191,3.16098873873707,"05/05/1800"," 8:44:00",6,144,1800-05-05 08:44:00
"662897","Atlantis","10",51.6070417380915,3.08350550274644,"05/05/1800","10:40:00",7,248,1800-05-05 10:40:00
"662898","Atlantis","10",51.576919331173,2.98779570994805,"05/05/1800","14:30:00",6,228,1800-05-05 14:30:00
"662899","Atlantis","10",51.5465515189292,2.87639516843669,"05/05/1800","16:24:00",7,50,1800-05-05 16:24:00
"662900","Atlantis","10",51.6061289456477,2.97909264942538,"05/05/1800","18:20:00",7,330,1800-05-05 18:20:00
"662901","Atlantis","10",51.6016501706596,3.0204385781968,"05/05/1800","20:16:00",6,58,1800-05-05 20:16:00
"662902","Atlantis","10",51.5731208998202,2.8929834927395,"05/05/1800","22:10:00",7,253,1800-05-05 22:10:00
"662903","Atlantis","10",51.5931214836561,2.99407952163834,"06/05/1800","00: 6:00",7,245,1800-05-06 00:06:00
"662904","Atlantis","10",51.5683078272836,2.93339168617967,"06/05/1800"," 2:00:00",7,330,1800-05-06 02:00:00
"662905","Atlantis","10",51.5473403272065,2.87607746142615,"06/05/1800"," 3:56:00",7,55,1800-05-06 03:56:00
"662906","Atlantis","10",51.5662122405847,2.93659450235404,"06/05/1800"," 5:52:00",7,83,1800-05-06 05:52:00
"662907","Atlantis","10",51.6299493680494,3.036660480747,"06/05/1800"," 7:46:00",7,59,1800-05-06 07:46:00
"662908","Atlantis","10",51.6359223276689,3.09941987676174,"06/05/1800"," 9:42:00",6,116,1800-05-06 09:42:00
"662909","Atlantis","10",51.5344633132401,2.87679365528095,"06/05/1800","11:36:00",7,228,1800-05-06 11:36:00
