Uniformly Sampled Time Series,Time Line,Forecasted Time Series,SSA Eigenvalues
284.30499,Thu Jan 01 12:00:20 CET 1970,284.30499,99.99471354921671,
283.05301,Thu Jan 01 12:00:22 CET 1970,283.05301,0.0027495878504559495,
280.55798,Thu Jan 01 12:00:24 CET 1970,280.55798,0.002096485143298201,
279.15799,Thu Jan 01 12:00:26 CET 1970,279.15799,1.473473439755E-4,
279.444,Thu Jan 01 12:00:28 CET 1970,279.444,1.3747858005716464E-4,
281.802,Thu Jan 01 12:00:30 CET 1970,281.802,1.0696391047909408E-4,
286.828,Thu Jan 01 12:00:32 CET 1970,286.828,3.227366033595286E-5,
285.91501,Thu Jan 01 12:00:34 CET 1970,285.91501,9.046423175270824E-6,
282.181,Thu Jan 01 12:00:36 CET 1970,282.181,4.7469494825208015E-6,
280.44998,Thu Jan 01 12:00:38 CET 1970,280.44998,2.5209220354873106E-6,
280.065,Thu Jan 01 12:00:40 CET 1970,280.065,,
281.677,Thu Jan 01 12:00:42 CET 1970,281.677,,
285.26599,Thu Jan 01 12:00:44 CET 1970,285.26599,,
284.293,Thu Jan 01 12:00:46 CET 1970,284.293,,
281.49899,Thu Jan 01 12:00:48 CET 1970,281.49899,,
280.28598,Thu Jan 01 12:00:50 CET 1970,280.28598,,
279.69,Thu Jan 01 12:00:52 CET 1970,279.69,,
281.55701,Thu Jan 01 12:00:54 CET 1970,281.55701,,
285.38498,Thu Jan 01 12:00:56 CET 1970,285.38498,,
284.366,Thu Jan 01 12:00:58 CET 1970,284.366,,
281.85999,Thu Jan 01 12:01:00 CET 1970,281.85999,,
280.92899,Thu Jan 01 12:01:02 CET 1970,280.92899,,
280.61099,Thu Jan 01 12:01:04 CET 1970,280.61099,,
282.88599,Thu Jan 01 12:01:06 CET 1970,282.88599,,
285.659,Thu Jan 01 12:01:08 CET 1970,285.659,,
284.69699,Thu Jan 01 12:01:10 CET 1970,284.69699,,
281.828,Thu Jan 01 12:01:12 CET 1970,281.828,,
280.25101,Thu Jan 01 12:01:14 CET 1970,280.25101,,
279.64099,Thu Jan 01 12:01:16 CET 1970,279.64099,,
281.35199,Thu Jan 01 12:01:18 CET 1970,281.35199,,
284.58099,Thu Jan 01 12:01:20 CET 1970,284.58099,,
284.38699,Thu Jan 01 12:01:22 CET 1970,284.38699,,
281.064,Thu Jan 01 12:01:24 CET 1970,281.064,,
279.647,Thu Jan 01 12:01:26 CET 1970,279.647,,
279.095,Thu Jan 01 12:01:28 CET 1970,279.095,,
281.05798,Thu Jan 01 12:01:30 CET 1970,281.05798,,
284.53699,Thu Jan 01 12:01:32 CET 1970,284.53699,,
283.823,Thu Jan 01 12:01:34 CET 1970,283.823,,
281.11398,Thu Jan 01 12:01:36 CET 1970,281.11398,,
279.51999,Thu Jan 01 12:01:38 CET 1970,279.51999,,
279.20999,Thu Jan 01 12:01:40 CET 1970,279.20999,,
281.341,Thu Jan 01 12:01:42 CET 1970,281.341,,
284.36899,Thu Jan 01 12:01:44 CET 1970,284.36899,,
283.70898,Thu Jan 01 12:01:46 CET 1970,283.70898,,
281.41998,Thu Jan 01 12:01:48 CET 1970,281.41998,,
280.62399,Thu Jan 01 12:01:50 CET 1970,280.62399,,
280.276,Thu Jan 01 12:01:52 CET 1970,280.276,,
282.65799,Thu Jan 01 12:01:54 CET 1970,282.65799,,
285.89499,Thu Jan 01 12:01:56 CET 1970,285.89499,,
284.44199,Thu Jan 01 12:01:58 CET 1970,284.44199,,
281.20499,Thu Jan 01 12:02:00 CET 1970,281.20499,,
,Thu Jan 01 12:02:02 CET 1970,280.08158503547986,,
,Thu Jan 01 12:02:04 CET 1970,280.38746702050395,,
,Thu Jan 01 12:02:06 CET 1970,282.6511130777923,,
,Thu Jan 01 12:02:08 CET 1970,284.73827636339405,,
,Thu Jan 01 12:02:10 CET 1970,284.6494737309435,,
,Thu Jan 01 12:02:12 CET 1970,282.3026127174611,,
,Thu Jan 01 12:02:14 CET 1970,280.07955900154286,,
,Thu Jan 01 12:02:16 CET 1970,280.1622787929843,,
,Thu Jan 01 12:02:18 CET 1970,282.226689511417,,
,Thu Jan 01 12:02:20 CET 1970,284.3397337815121,,
