Uniformly Sampled Time Series,Time Line,Forecasted Time Series,SSA Eigenvalues
31500.0,Tue Jan 01 12:00:00 CET 1963,31500.0,89.7472173630801,
31766.666666666668,Wed Jan 01 20:00:00 CET 1964,31766.666666666668,4.815405483022752,
32033.333333333336,Fri Jan 01 04:00:00 CET 1965,32033.333333333336,2.2831730108447092,
32300.000000000004,Sat Jan 01 12:00:00 CET 1966,32300.000000000004,1.6087491331698494,
32566.66666666667,Sun Jan 01 20:00:00 CET 1967,32566.66666666667,0.8672827902262403,
32833.333333333336,Tue Jan 02 04:00:00 CET 1968,32833.333333333336,0.4900537449206029,
33100.0,Wed Jan 01 12:00:00 CET 1969,33100.0,0.18811847473575385,
28629.714285714286,Thu Jan 01 15:25:42 CET 1970,28629.714285714286,5.745575310244665E-15,
24159.428571428572,Fri Jan 01 18:51:25 CET 1971,24159.428571428572,2.335865810053513E-15,
19689.14285714286,Sat Jan 01 22:17:08 CET 1972,19689.14285714286,1.7288813316592547E-15,
15218.857142857145,Mon Jan 01 01:42:51 CET 1973,15218.857142857145,1.4007738191843044E-15,
10748.571428571431,Tue Jan 01 05:08:34 CET 1974,10748.571428571431,1.0928482176102227E-15,
6278.2857142857165,Wed Jan 01 08:34:17 CET 1975,6278.2857142857165,8.580858807841701E-16,
1808.0,Thu Jan 01 12:00:00 CET 1976,1808.0,7.280025906447199E-16,
1396.0,Sat Jan 01 12:00:00 CET 1977,1396.0,3.31883953549977E-16,
2618.5,Sun Jan 01 12:00:00 CET 1978,2618.5,1.6983662681016656E-16,
3841.0,Mon Jan 01 12:00:00 CET 1979,3841.0,2.246736964515162E-17,
540.0,Tue Jan 01 12:00:00 CET 1980,540.0,3.589998378676427E-18,
2236.0,Thu Jan 01 12:00:00 CET 1981,2236.0,-5.41546729793937E-20,
3862.0,Fri Jan 01 12:00:00 CET 1982,3862.0,-3.4604282296889724E-17,
45947.0,Sat Jan 01 12:00:00 CET 1983,45947.0,-1.353435053720676E-16,
65031.0,Sun Jan 01 12:00:00 CET 1984,65031.0,-3.7067596985027935E-16,
37276.0,Tue Jan 01 12:00:00 CET 1985,37276.0,-5.282371618640176E-16,
30183.0,Wed Jan 01 12:00:00 CET 1986,30183.0,-6.734237272452876E-16,
34320.5,Thu Jan 01 12:00:00 CET 1987,34320.5,-8.808590734617515E-16,
38458.0,Fri Jan 01 12:00:00 CET 1988,38458.0,-1.0990622921046027E-15,
41293.2,Sat Dec 31 21:36:00 CET 1988,41293.2,-1.2607960916083963E-15,
44128.399999999994,Mon Jan 01 07:12:00 CET 1990,44128.399999999994,-1.6219014098188011E-15,
46963.59999999999,Tue Jan 01 16:48:00 CET 1991,46963.59999999999,-2.1306306638560014E-15,
49798.79999999999,Thu Jan 02 02:24:00 CET 1992,49798.79999999999,-3.4898515295224396E-15,
52634.0,Fri Jan 01 12:00:00 CET 1993,52634.0,,
64541.0,Sat Jan 01 12:00:00 CET 1994,64541.0,,
44922.0,Sun Jan 01 12:00:00 CET 1995,44922.0,,
80633.0,Mon Jan 01 12:00:00 CET 1996,80633.0,,
74578.0,Wed Jan 01 12:00:00 CET 1997,74578.0,,
43038.0,Thu Jan 01 12:00:00 CET 1998,43038.0,,
,Fri Jan 01 12:00:00 CET 1999,48085.798303185846,,
,Sat Jan 01 12:00:00 CET 2000,54852.74522736471,,
,Sun Dec 31 12:00:00 CET 2000,52243.464776892324,,
,Mon Dec 31 12:00:00 CET 2001,53839.93842880568,,
,Tue Dec 31 12:00:00 CET 2002,54046.64915090342,,
,Wed Dec 31 12:00:00 CET 2003,46647.72819883075,,
,Thu Dec 30 12:00:00 CET 2004,51120.87029236622,,
,Fri Dec 30 12:00:00 CET 2005,71910.76759367749,,
,Sat Dec 30 12:00:00 CET 2006,55663.85178524238,,
,Sun Dec 30 12:00:00 CET 2007,48999.0084219306,,
