Uniformly Sampled Time Series,Time Line,Forecasted Time Series,SSA Eigenvalues
0.0,Thu Jan 01 00:00:00 CET 1970,0.0,53.25845362366732,
0.58778524,Thu Jan 01 00:00:09 CET 1970,0.58778524,44.489793717552494,
0.95105654,Thu Jan 01 00:00:19 CET 1970,0.95105654,0.6671963577207428,
0.9510565,Thu Jan 01 00:00:29 CET 1970,0.9510565,0.6160226597617514,
0.58778524,Thu Jan 01 00:00:39 CET 1970,0.58778524,0.5342736177917294,
1.2246469E-16,Thu Jan 01 00:00:49 CET 1970,1.2246469E-16,0.11567485586585903,
-0.58778536,Thu Jan 01 00:00:59 CET 1970,-0.58778536,0.10120152108727817,
-0.9510566,Thu Jan 01 00:01:09 CET 1970,-0.9510566,0.0730172235175427,
-0.95105636,Thu Jan 01 00:01:19 CET 1970,-0.95105636,0.03349028282182146,
-0.58778477,Thu Jan 01 00:01:29 CET 1970,-0.58778477,0.03045581830051048,
-0.29389201049295,Thu Jan 01 00:01:34 CET 1970,-0.29389201049295,0.02635425090426541,
7.490141E-7,Thu Jan 01 00:01:39 CET 1970,7.490141E-7,0.02391724037771211,
0.58778596,Thu Jan 01 00:01:49 CET 1970,0.58778596,0.010970511853957598,
0.95105684,Thu Jan 01 00:01:59 CET 1970,0.95105684,0.007955474630772853,
0.9510561,Thu Jan 01 00:02:09 CET 1970,0.9510561,0.006931498941257794,
0.5877842,Thu Jan 01 00:02:19 CET 1970,0.5877842,0.0016415431310098237,
-1.4980282E-6,Thu Jan 01 00:02:29 CET 1970,-1.4980282E-6,0.0013116629103951064,
-0.5877866,Thu Jan 01 00:02:39 CET 1970,-0.5877866,0.0012272963337605991,
-0.9510571,Thu Jan 01 00:02:49 CET 1970,-0.9510571,9.560015129033785E-5,
-0.95105594,Thu Jan 01 00:02:59 CET 1970,-0.95105594,1.5242678507518707E-5,
-0.7694197700000001,Thu Jan 01 00:03:04 CET 1970,-0.7694197700000001,,
-0.5877836,Thu Jan 01 00:03:09 CET 1970,-0.5877836,,
1.4980282E-6,Thu Jan 01 00:03:19 CET 1970,1.4980282E-6,,
0.58778596,Thu Jan 01 00:03:29 CET 1970,0.58778596,,
0.9510566,Thu Jan 01 00:03:39 CET 1970,0.9510566,,
0.9510566,Thu Jan 01 00:03:49 CET 1970,0.9510566,,
0.58778596,Thu Jan 01 00:03:59 CET 1970,0.58778596,,
1.4980282E-6,Thu Jan 01 00:04:09 CET 1970,1.4980282E-6,,
-0.5877836,Thu Jan 01 00:04:19 CET 1970,-0.5877836,,
-0.9510557,Thu Jan 01 00:04:29 CET 1970,-0.9510557,,
