Uniformly Sampled Time Series,Time Line,Forecasted Time Series,SSA Eigenvalues
15229.000000000002,Wed Jan 01 12:00:00 CET 1997,15229.000000000002,98.02864139393877,
14333.299999999992,Sat Feb 01 12:00:00 CET 1997,14333.299999999992,0.7804396313097475,
15714.100000000031,Sat Mar 01 12:00:00 CET 1997,15714.100000000031,0.3969314501556061,
13518.400000000018,Tue Apr 01 12:00:00 CEST 1997,13518.400000000018,0.08874777572693453,
14264.900000000001,Thu May 01 12:00:00 CEST 1997,14264.900000000001,0.054970524252652385,
14593.499999999995,Sun Jun 01 12:00:00 CEST 1997,14593.499999999995,0.05186099959008052,
16072.100000000002,Tue Jul 01 12:00:00 CEST 1997,16072.100000000002,0.048254855471451946,
16521.00000000002,Fri Aug 01 12:00:00 CEST 1997,16521.00000000002,0.043579795512742076,
16120.200000000063,Mon Sep 01 12:00:00 CEST 1997,16120.200000000063,0.04340387979865893,
15949.200000000015,Wed Oct 01 12:00:00 CEST 1997,15949.200000000015,0.03151552163118512,
14826.500000000004,Sat Nov 01 12:00:00 CET 1997,14826.500000000004,0.026068369648675524,
16093.19999999995,Mon Dec 01 12:00:00 CET 1997,16093.19999999995,0.021106310221731123,
15897.64999999994,Wed Dec 17 00:00:00 CET 1997,15897.64999999994,0.020602605969625917,
15702.099999999928,Thu Jan 01 12:00:00 CET 1998,15702.099999999928,0.02027099358347004,
14808.99999999992,Sun Feb 01 12:00:00 CET 1998,14808.99999999992,0.020128482821638184,
15200.800000000014,Sun Mar 01 12:00:00 CET 1998,15200.800000000014,0.016733473301828984,
14324.50000000001,Wed Apr 01 12:00:00 CEST 1998,14324.50000000001,0.0158407221650461,
12923.6,Fri May 01 12:00:00 CEST 1998,12923.6,0.014487136893854793,
12131.69999999999,Mon Jun 01 12:00:00 CEST 1998,12131.69999999999,0.014388145228288353,
13909.999999999998,Wed Jul 01 12:00:00 CEST 1998,13909.999999999998,0.013297151889703096,
14913.999999999985,Sat Aug 01 12:00:00 CEST 1998,14913.999999999985,0.012032576705141415,
14759.100000000093,Tue Sep 01 12:00:00 CEST 1998,14759.100000000093,0.011870162169060164,
16758.70000000002,Thu Oct 01 12:00:00 CEST 1998,16758.70000000002,0.011663295491460382,
15166.100000000028,Sun Nov 01 12:00:00 CET 1998,15166.100000000028,0.01149651484945277,
17336.599999999955,Tue Dec 01 12:00:00 CET 1998,17336.599999999955,0.011128892737993609,
17155.899999999965,Thu Dec 17 00:00:00 CET 1998,17155.899999999965,0.010548158039623532,
16975.19999999998,Fri Jan 01 12:00:00 CET 1999,16975.19999999998,0.00981631237952753,
14689.199999999964,Mon Feb 01 12:00:00 CET 1999,14689.199999999964,0.008876771927613202,
14923.900000000016,Mon Mar 01 12:00:00 CET 1999,14923.900000000016,0.008808311772636544,
14855.900000000016,Thu Apr 01 12:00:00 CEST 1999,14855.900000000016,0.006939097169297382,
12780.19999999998,Sat May 01 12:00:00 CEST 1999,12780.19999999998,0.006204012542023344,
12661.800000000007,Tue Jun 01 12:00:00 CEST 1999,12661.800000000007,0.006111741748419211,
14145.899999999998,Thu Jul 01 12:00:00 CEST 1999,14145.899999999998,0.005737855262190284,
13263.69999999998,Sun Aug 01 12:00:00 CEST 1999,13263.69999999998,0.005710471182612854,
13158.400000000054,Wed Sep 01 12:00:00 CEST 1999,13158.400000000054,0.005670574008886869,
12970.899999999998,Fri Oct 01 12:00:00 CEST 1999,12970.899999999998,0.005570649612622983,
11384.70000000002,Mon Nov 01 12:00:00 CET 1999,11384.70000000002,0.005368703677408076,
11167.100000000002,Tue Nov 16 12:00:00 CET 1999,11167.100000000002,0.0050058070358868344,
10949.499999999985,Wed Dec 01 12:00:00 CET 1999,10949.499999999985,0.004802796664036469,
11989.4,Sat Jan 01 12:00:00 CET 2000,11989.4,0.0047249419732342994,
11134.500000000004,Tue Feb 01 12:00:00 CET 2000,11134.500000000004,0.0041942101360978356,
13034.600000000024,Wed Mar 01 12:00:00 CET 2000,13034.600000000024,0.004132728674202382,
12063.100000000006,Sat Apr 01 12:00:00 CEST 2000,12063.100000000006,0.004064876742268585,
13619.099999999988,Mon May 01 12:00:00 CEST 2000,13619.099999999988,0.004043147654050734,
12896.199999999995,Thu Jun 01 12:00:00 CEST 2000,12896.199999999995,0.004001399292790155,
13021.599999999986,Sat Jul 01 12:00:00 CEST 2000,13021.599999999986,0.003937760443616265,
12081.699999999986,Tue Aug 01 12:00:00 CEST 2000,12081.699999999986,0.0038635359660223103,
12744.400000000025,Fri Sep 01 12:00:00 CEST 2000,12744.400000000025,0.0036929617872628797,
11532.600000000013,Sun Oct 01 12:00:00 CEST 2000,11532.600000000013,0.0036205954036508826,
12142.300000000005,Tue Oct 17 00:30:00 CEST 2000,12142.300000000005,0.0035313333518722668,
12751.999999999996,Wed Nov 01 12:00:00 CET 2000,12751.999999999996,0.00339611822250787,
15097.599999999993,Fri Dec 01 12:00:00 CET 2000,15097.599999999993,0.0033223102880076904,
15292.799999999987,Mon Jan 01 12:00:00 CET 2001,15292.799999999987,0.003230713635747957,
12091.900000000001,Thu Feb 01 12:00:00 CET 2001,12091.900000000001,0.0031751554792379378,
14068.900000000036,Thu Mar 01 12:00:00 CET 2001,14068.900000000036,0.0030754310551521164,
12448.800000000008,Sun Apr 01 12:00:00 CEST 2001,12448.800000000008,0.0028673776939715776,
11949.999999999996,Tue May 01 12:00:00 CEST 2001,11949.999999999996,0.002775394454211449,
11599.200000000008,Fri Jun 01 12:00:00 CEST 2001,11599.200000000008,0.0026672573617809794,
13400.399999999981,Sun Jul 01 12:00:00 CEST 2001,13400.399999999981,0.0022323909908433656,
13108.899999999972,Wed Aug 01 12:00:00 CEST 2001,13108.899999999972,0.00220448103579155,
13082.500000000025,Sat Sep 01 12:00:00 CEST 2001,13082.500000000025,0.002123605014029219,
13197.200000000023,Mon Oct 01 12:00:00 CEST 2001,13197.200000000023,0.0020360442239283354,
12923.000000000024,Wed Oct 17 00:30:00 CEST 2001,12923.000000000024,0.001970447191886295,
12648.800000000025,Thu Nov 01 12:00:00 CET 2001,12648.800000000025,0.0019472606478688557,
12749.3,Sat Dec 01 12:00:00 CET 2001,12749.3,0.0017961378228829926,
14469.59999999999,Tue Jan 01 12:00:00 CET 2002,14469.59999999999,0.0014506754428103956,
12273.099999999979,Fri Feb 01 12:00:00 CET 2002,12273.099999999979,0.0014400681349558352,
11845.400000000027,Fri Mar 01 12:00:00 CET 2002,11845.400000000027,0.0013319396966509466,
12383.400000000009,Mon Apr 01 12:00:00 CEST 2002,12383.400000000009,0.0011233952082617548,
12575.500000000022,Wed May 01 12:00:00 CEST 2002,12575.500000000022,0.0010812130542056872,
11161.60000000001,Sat Jun 01 12:00:00 CEST 2002,11161.60000000001,0.0010176761996421578,
12235.099999999986,Mon Jul 01 12:00:00 CEST 2002,12235.099999999986,8.031547048201265E-4,
13962.999999999985,Thu Aug 01 12:00:00 CEST 2002,13962.999999999985,7.115254527665294E-4,
13293.500000000045,Sun Sep 01 12:00:00 CEST 2002,13293.500000000045,6.267848865067372E-4,
13596.100000000004,Tue Oct 01 12:00:00 CEST 2002,13596.100000000004,5.963218425212068E-4,
13330.600000000002,Thu Oct 17 00:30:00 CEST 2002,13330.600000000002,5.834965739346248E-4,
13065.100000000002,Fri Nov 01 12:00:00 CET 2002,13065.100000000002,5.263274388059672E-4,
13469.299999999997,Sun Dec 01 12:00:00 CET 2002,13469.299999999997,5.120341564380891E-4,
12561.799999999997,Wed Jan 01 12:00:00 CET 2003,12561.799999999997,4.980540956752876E-4,
10497.299999999997,Sat Feb 01 12:00:00 CET 2003,10497.299999999997,4.3779248149402656E-4,
11315.300000000045,Sat Mar 01 12:00:00 CET 2003,11315.300000000045,,
10579.099999999966,Tue Apr 01 12:00:00 CEST 2003,10579.099999999966,,
9392.700000000015,Thu May 01 12:00:00 CEST 2003,9392.700000000015,,
11052.999999999996,Sun Jun 01 12:00:00 CEST 2003,11052.999999999996,,
11387.399999999981,Tue Jul 01 12:00:00 CEST 2003,11387.399999999981,,
12235.899999999978,Fri Aug 01 12:00:00 CEST 2003,12235.899999999978,,
