A, 
ABORT,non-reserved
ABS, 
ABSENT, 
ABSOLUTE,non-reserved
ACCESS,non-reserved
ACCORDING, 
ACTION,non-reserved
ADA, 
ADD,non-reserved
ADMIN,non-reserved
AFTER,non-reserved
AGGREGATE,non-reserved
ALL,reserved
ALLOCATE, 
ALSO,non-reserved
ALTER,non-reserved
ALWAYS,non-reserved
ANALYSE,reserved
ANALYZE,reserved
AND,reserved
ANY,reserved
ARE, 
ARRAY,reserved
ARRAY_AGG, 
ARRAY_MAX_CARDINALITY, 
AS,reserved
ASC,reserved
ASENSITIVE, 
ASSERTION,non-reserved
ASSIGNMENT,non-reserved
ASYMMETRIC,reserved
AT,non-reserved
ATOMIC, 
ATTRIBUTE,non-reserved
ATTRIBUTES, 
AUTHORIZATION,reserved (can be function or type)
AVG, 
BACKWARD,non-reserved
BASE64, 
BEFORE,non-reserved
BEGIN,non-reserved
BEGIN_FRAME, 
BEGIN_PARTITION, 
BERNOULLI, 
BETWEEN,non-reserved (cannot be function or type)
BIGINT,non-reserved (cannot be function or type)
BINARY,reserved (can be function or type)
BIT,non-reserved (cannot be function or type)
BIT_LENGTH, 
BLOB, 
BLOCKED, 
BOM, 
BOOLEAN,non-reserved (cannot be function or type)
BOTH,reserved
BREADTH, 
BY,non-reserved
C, 
CACHE,non-reserved
CALL, 
CALLED,non-reserved
CARDINALITY, 
CASCADE,non-reserved
CASCADED,non-reserved
CASE,reserved
CAST,reserved
CATALOG,non-reserved
CATALOG_NAME, 
CEIL, 
CEILING, 
CHAIN,non-reserved
CHAR,non-reserved (cannot be function or type)
CHARACTER,non-reserved (cannot be function or type)
CHARACTERISTICS,non-reserved
CHARACTERS, 
CHARACTER_LENGTH, 
CHARACTER_SET_CATALOG, 
CHARACTER_SET_NAME, 
CHARACTER_SET_SCHEMA, 
CHAR_LENGTH, 
CHECK,reserved
CHECKPOINT,non-reserved
CLASS,non-reserved
CLASS_ORIGIN, 
CLOB, 
CLOSE,non-reserved
CLUSTER,non-reserved
COALESCE,non-reserved (cannot be function or type)
COBOL, 
COLLATE,reserved
COLLATION,reserved (can be function or type)
COLLATION_CATALOG, 
COLLATION_NAME, 
COLLATION_SCHEMA, 
COLLECT, 
COLUMN,reserved
COLUMNS, 
COLUMN_NAME, 
COMMAND_FUNCTION, 
COMMAND_FUNCTION_CODE, 
COMMENT,non-reserved
COMMENTS,non-reserved
COMMIT,non-reserved
COMMITTED,non-reserved
CONCURRENTLY,reserved (can be function or type)
CONDITION, 
CONDITION_NUMBER, 
CONFIGURATION,non-reserved
CONNECT, 
CONNECTION,non-reserved
