currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,A,AT	618.00 	587.00 	551.00 	511.00 	492.00 	480.00 	489.00 	439.00 	437.00 	429.00 	424.00 	413.00 	396.00 	402.00 
MIO_EUR,A,AT1	254.00 	238.00 	228.00 	212.00 	199.00 	202.00 	206.00 	180.00 	175.00 	174.00 	173.00 	167.00 	158.00 	160.00 
MIO_EUR,A,AT11	50.00 	45.00 	42.00 	38.00 	34.00 	34.00 	34.00 	28.00 	27.00 	25.00 	21.00 	23.00 	20.00 	19.00 
MIO_EUR,A,AT12	183.00 	172.00 	165.00 	154.00 	145.00 	145.00 	148.00 	131.00 	125.00 	127.00 	128.00 	121.00 	114.00 	114.00 
MIO_EUR,A,AT13	21.00 	21.00 	20.00 	20.00 	20.00 	23.00 	24.00 	22.00 	23.00 	22.00 	23.00 	23.00 	24.00 	27.00 
MIO_EUR,A,AT2	173.00 	164.00 	148.00 	129.00 	130.00 	126.00 	129.00 	121.00 	122.00 	118.00 	116.00 	119.00 	117.00 	119.00 
MIO_EUR,A,AT21	47.00 	45.00 	41.00 	35.00 	34.00 	39.00 	39.00 	35.00 	36.00 	35.00 	33.00 	35.00 	35.00 	37.00 
MIO_EUR,A,AT22	126.00 	119.00 	107.00 	94.00 	96.00 	88.00 	90.00 	86.00 	86.00 	83.00 	83.00 	84.00 	82.00 	82.00 
MIO_EUR,A,AT3	190.00 	185.00 	175.00 	169.00 	163.00 	152.00 	154.00 	138.00 	139.00 	137.00 	135.00 	127.00 	121.00 	124.00 
MIO_EUR,A,AT31	86.00 	86.00 	80.00 	80.00 	78.00 	71.00 	73.00 	64.00 	62.00 	60.00 	56.00 	54.00 	50.00 	51.00 
MIO_EUR,A,AT32	46.00 	44.00 	42.00 	39.00 	34.00 	27.00 	28.00 	25.00 	25.00 	25.00 	26.00 	24.00 	23.00 	24.00 
MIO_EUR,A,AT33	41.00 	40.00 	38.00 	34.00 	35.00 	36.00 	36.00 	33.00 	35.00 	35.00 	36.00 	33.00 	33.00 	33.00 
MIO_EUR,A,AT34	17.00 	15.00 	15.00 	16.00 	16.00 	17.00 	18.00 	15.00 	17.00 	17.00 	17.00 	16.00 	16.00 	16.00 
