0    [main] INFO  org.gcube.common.scope.impl.ScopeProviderScanner  - using scope provider org.gcube.common.scope.impl.DefaultScopeProvider@771199f0
2    [main] DEBUG org.gcube.common.scope.impl.DefaultScopeProvider  - setting scope /gcube/devsec in thread 1
945  [main] INFO  org.gcube.common.scan.DefaultScanner  - matched 13 resources from 40 urls in 101 ms
971  [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/d4science.servicemap 
1129 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/vo1.servicemap 
1130 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/openbio.servicemap 
1131 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/cnr.servicemap 
1132 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/testing.servicemap 
1132 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/gcube.servicemap 
1133 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/farm.servicemap 
1134 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/isti.servicemap 
1135 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/gcubeapps.servicemap 
1136 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/ecosystem.servicemap 
1137 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/securevo.servicemap 
1137 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/devsec.servicemap 
1138 [main] INFO  org.gcube.common.scope.impl.ServiceMapScanner  - loading jar:file:/home/fabio/.m2/repository/org/gcube/core/common-scope-maps/1.0.2-SNAPSHOT/common-scope-maps-1.0.2-SNAPSHOT.jar!/devnext.servicemap 
1399 [main] INFO  org.gcube.common.clients.stubs.jaxws.StubFactory  - fetching wsdl for XQueryAccessService at http://dlib01.isti.cnr.it:8080/wsrf/services/gcube/informationsystem/collector/XQueryAccess?wsdl
1799 [main] INFO  org.gcube.common.clients.stubs.jaxws.StubCache  - caching stub for interface org.gcube.resources.discovery.icclient.stubs.CollectorStub
2061 [main] INFO  org.gcube.resources.discovery.icclient.ICClient  - executing query declare namespace ic = 'http://gcube-system.org/namespaces/informationsystem/registry'; for $resource in collection('/db/Profiles/GenericResource')//Document/Data/ic:Profile/Resource where ($resource/Profile/SecondaryType/text() eq 'ISO') and ($resource/Profile/Name/text() eq 'MetadataConstants') return $resource
2123 [main] INFO  org.gcube.common.clients.stubs.jaxws.handlers.HandlerRegistry  - loaded call handler org.gcube.common.clients.stubs.jaxws.handlers.ScopeHandler@7dd84118
2123 [main] INFO  org.gcube.common.clients.stubs.jaxws.handlers.HandlerRegistry  - loaded call handler org.gcube.common.clients.stubs.jaxws.handlers.TargetServiceHandler@c10420b
2124 [main] INFO  org.gcube.common.clients.stubs.jaxws.handlers.HandlerRegistry  - loaded call handler org.gcube.common.clients.stubs.jaxws.handlers.ClientInfoHandler@593e9bf1
2124 [main] INFO  org.gcube.common.clients.stubs.jaxws.handlers.HandlerRegistry  - loaded call handler org.gcube.common.clients.stubs.jaxws.handlers.LegacyWSAddressingHandler@3d3b10b1
2317 [main] INFO  org.gcube.resources.discovery.icclient.ICClient  - executed query declare namespace ic = 'http://gcube-system.org/namespaces/informationsystem/registry'; for $resource in collection('/db/Profiles/GenericResource')//Document/Data/ic:Profile/Resource where ($resource/Profile/SecondaryType/text() eq 'ISO') and ($resource/Profile/Name/text() eq 'MetadataConstants') return $resource in 256 ms
